symbol,yahoo_symbol,name,series,isin,industry,source,as_of
ATULAUTO,ATULAUTO.NS,Atul Auto Limited,EQ,INE951D01028,,local_data_nse_equity_list,2026-04-29
AUBANK,AUBANK.NS,AU Small Finance Bank Limited,EQ,INE949L01017,,local_data_nse_equity_list,2026-04-29
AURIGROW,AURIGROW.NS,Auri Grow India Limited,EQ,INE925Y01036,,local_data_nse_equity_list,2026-04-29
AURIONPRO,AURIONPRO.NS,Aurionpro Solutions Limited,EQ,INE132H01018,,local_data_nse_equity_list,2026-04-29
AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Limited,EQ,INE406A01037,,local_data_nse_equity_list,2026-04-29
AURUM,AURUM.NS,Aurum PropTech Limited,EQ,INE898S01029,,local_data_nse_equity_list,2026-04-29
AUSOMENT,AUSOMENT.NS,Ausom Enterprise Limited,BE,INE218C01016,,local_data_nse_equity_list,2026-04-29
AUTOAXLES,AUTOAXLES.NS,Automotive Axles Limited,EQ,INE449A01011,,local_data_nse_equity_list,2026-04-29
AUTOIND,AUTOIND.NS,Autoline Industries Limited,EQ,INE718H01014,,local_data_nse_equity_list,2026-04-29
AVADHSUGAR,AVADHSUGAR.NS,Avadh Sugar & Energy Limited,BE,INE349W01017,,local_data_nse_equity_list,2026-04-29
