symbol,yahoo_symbol,name,series,isin,listed_on
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Limited,EQ,INE079A01024,18-FEB-1998
AMDIND,AMDIND.NS,AMD Industries Limited,EQ,INE005I01014,19-MAR-2007
AMIRCHAND,AMIRCHAND.NS,Amir Chand Jagdish Kumar (Exports) Limited,EQ,INE05TO01019,02-APR-2026
AMJLAND,AMJLAND.NS,Amj Land Holdings Limited,EQ,INE606A01024,08-FEB-1995
AMNPLST,AMNPLST.NS,Amines & Plasticizers Limited,EQ,INE275D01022,10-NOV-2023
AMRUTANJAN,AMRUTANJAN.NS,Amrutanjan Health Care Limited,EQ,INE098F01031,02-JAN-2015
ANANDRATHI,ANANDRATHI.NS,Anand Rathi Wealth Limited,EQ,INE463V01026,14-DEC-2021
ANANTRAJ,ANANTRAJ.NS,Anant Raj Limited,EQ,INE242C01024,27-SEP-2006
ANDHRAPAP,ANDHRAPAP.NS,ANDHRA PAPER LIMITED,EQ,INE435A01051,13-MAY-2004
ANDHRSUGAR,ANDHRSUGAR.NS,The Andhra Sugars Limited,EQ,INE715B01021,01-NOV-1995
ANGELONE,ANGELONE.NS,Angel One Limited,EQ,INE732I01021,05-OCT-2020
ANIKINDS,ANIKINDS.NS,Anik Industries Limited,BE,INE087B01017,21-MAY-2008
ANKITMETAL,ANKITMETAL.NS,Ankit Metal & Power Limited,BZ,INE106I01010,14-MAR-2013
ANMOL,ANMOL.NS,Anmol India Limited,EQ,INE02AR01019,04-JUN-2021
ANSALAPI,ANSALAPI.NS,Ansal Properties & Infrastructure Limited,BZ,INE436A01026,27-JAN-2006
ANTELOPUS,ANTELOPUS.NS,Antelopus Selan Energy Limited,EQ,INE818A01017,26-SEP-2006
ANTGRAPHIC,ANTGRAPHIC.NS,Antarctica Limited,EQ,INE414B01021,31-DEC-1997
ANTHEM,ANTHEM.NS,Anthem Biosciences Limited,EQ,INE0CZ201020,21-JUL-2025
ANUHPHR,ANUHPHR.NS,Anuh Pharma Limited,EQ,INE489G01022,20-DEC-2024
ANUP,ANUP.NS,The Anup Engineering Limited,EQ,INE294Z01018,01-MAR-2019
ANURAS,ANURAS.NS,Anupam Rasayan India Limited,EQ,INE930P01018,24-MAR-2021
APARINDS,APARINDS.NS,Apar Industries Limited,EQ,INE372A01015,12-JUL-2004
APCL,APCL.NS,Anjani Portland Cement Limited,EQ,INE071F01012,10-APR-2017
APCOTEXIND,APCOTEXIND.NS,Apcotex Industries Limited,EQ,INE116A01032,06-SEP-1995
APEX,APEX.NS,Apex Frozen Foods Limited,EQ,INE346W01013,04-SEP-2017
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Limited,EQ,INE702C01027,14-DEC-2011
APLLTD,APLLTD.NS,Alembic Pharmaceuticals Limited,EQ,INE901L01018,20-SEP-2011
APOLLO,APOLLO.NS,Apollo Micro Systems Limited,EQ,INE713T01028,22-JAN-2018
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,EQ,INE437A01024,10-JAN-1996
APOLLOPIPE,APOLLOPIPE.NS,Apollo Pipes Limited,EQ,INE126J01016,11-NOV-2019
APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Limited,EQ,INE438A01022,31-MAY-1995
APOLSINHOT,APOLSINHOT.NS,Apollo Sindoori Hotels Limited,EQ,INE451F01024,28-JAN-2015
APTECHT,APTECHT.NS,Aptech Limited,EQ,INE266F01018,27-SEP-2002
APTUS,APTUS.NS,Aptus Value Housing Finance India Limited,EQ,INE852O01025,24-AUG-2021
AQYLON,AQYLON.NS,Aqylon Nexus Limited,EQ,INE416A01051,01-APR-2024
ARCHIDPLY,ARCHIDPLY.NS,Archidply Industries Limited,EQ,INE877I01016,04-JUL-2008
ARCHIES,ARCHIES.NS,Archies Limited,EQ,INE731A01020,02-SEP-1998
ARE&M,ARE&M.NS,Amara Raja Energy & Mobility Limited,EQ,INE885A01032,05-SEP-2003
ARENTERP,ARENTERP.NS,Rajdarshan Industries Limited,EQ,INE610C01014,18-OCT-1995
ARFIN,ARFIN.NS,Arfin India Limited,EQ,INE784R01023,22-JUL-2025
ARIES,ARIES.NS,Aries Agro Limited,EQ,INE298I01015,11-JAN-2008
ARIHANT,ARIHANT.NS,Arihant Foundations & Housing Limited,EQ,INE413D01011,20-APR-2026
ARIHANTCAP,ARIHANTCAP.NS,Arihant Capital Markets Limited,EQ,INE420B01036,15-JUN-2021
ARIHANTSUP,ARIHANTSUP.NS,Arihant Superstructures Limited,EQ,INE643K01018,28-MAR-2017
ARIS,ARIS.NS,Arisinfra Solutions Limited,EQ,INE0H9P01028,25-JUN-2025
ARKADE,ARKADE.NS,Arkade Developers Limited,EQ,INE0QRL01017,24-SEP-2024
